seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr,TimeDate,TradeDate,QuoteDate
49796,QQQ,1603323631159,283.52,200,127117,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49797,QQQ,1603323631159,283.52,200,127118,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49798,QQQ,1603323631160,283.52,200,127119,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49799,QQQ,1603323631160,283.53,200,127120,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49800,QQQ,1603323631160,283.53,200,127121,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49801,QQQ,1603323631161,283.54,200,127122,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49802,QQQ,1603323631161,283.54,200,127123,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49803,QQQ,1603323631161,283.54,200,127124,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49804,QQQ,1603323631161,283.55,200,127125,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49805,QQQ,1603323631161,283.56,200,127126,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49806,QQQ,1603323631161,283.56,200,127127,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49807,QQQ,1603323631162,283.56,200,127128,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49808,QQQ,1603323631162,283.55,800,127129,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49809,QQQ,1603323631162,283.55,25,127130,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49810,QQQ,1603323631162,283.58,200,127131,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49811,QQQ,1603323637939,283.51,75,127132,283.45,283.51,0,0,0,0,0,0,4,0,0,10/21/2020 7:40:37 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49812,QQQ,1603323641110,283.55,1,127133,283.49,283.55,0,0,0,0,0,0,4,0,0,10/21/2020 7:40:41 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49813,QQQ,1603323644844,283.49,25,127134,283.43,283.5,0,0,0,0,0,0,3,0,0,10/21/2020 7:40:44 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49814,QQQ,1603323648971,283.54,25,127135,283.5,283.56,0,0,0,0,0,0,3,0,0,10/21/2020 7:40:48 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49815,QQQ,1603323650889,283.63,30,127136,283.58,283.67,0,0,0,0,0,0,3,0,0,10/21/2020 7:40:50 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49816,QQQ,1603323654436,283.62,200,127137,283.55,283.6,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:54 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49817,QQQ,1603323654437,283.62,200,127138,283.55,283.6,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:54 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49818,QQQ,1603323654437,283.62,100,127139,283.55,283.6,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:54 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
